Line Number,ชื่อเมนู - ไทย,ชื่อเมนู - อังกฤษ,ราคาขาย (บาท),Add-on1,Price1,Add-on2,Price2
1,ข้าวไข่เจียวหมูสับ,Minced pork omelet on rice,60,,,,
2,ข้าวกะเพราหมูสับ,Stir-fried pork with holy basil on rice,70.00,ไข่ดาว,10,ไข่เจียว,10
3,ข้าวผัด,Fried rice,65.00,ไข่ดาว,10,ไข่เจียว,10
4,ผัดไทยกุ้งสด,Pad Thai with fresh shrimp,80.00,,,,
5,ข้าวหมูกรอบกระเทียม,Fried pork with garlic on rice,70.00,ไข่ดาว,10,ไข่เจียว,10
6,ราดหน้าหมู,Pork in gravy sauce with noodles,75.00,ไข่ดาว,10,ไข่เจียว,10
7,ผัดซีอิ๊วเส้นใหญ่หมู,Stir-fried wide rice noodles w/ pork,75.00,ไข่ดาว,10,ไข่เจียว,10
8,ข้าวคลุกกะปิ,Rice mixed with shrimp paste,85.00,,,,
9,ข้าวขาหมู,Stewed pork leg on rice,90.00,,,,
10,ข้าวมันไก่,Hainanese chicken rice,70.00,,,,
11,ก๋วยเตี๋ยวคั่วไก่,Stir-fried rice noodles with chicken,70.00,,,,
12,สุกี้แห้งทะเล,Dry sukiyaki with seafood,90.00,,,,
13,ข้าวผัดแกงเขียวหวานไก่,Green curry fried rice with chicken,80.00,ไข่ดาว,10,ไข่เจียว,10
14,ข้าวผัดสับปะรด,Pineapple fried rice,85.00,ไข่ดาว,10,ไข่เจียว,10
15,บะหมี่เกี๊ยวหมูแดง,Egg noodles with wonton & BBQ pork,70.00,,,,
16,ข้าวผัด WLB*,WLB fried rice,55.55,,,,
17,ข้าวผัด SHR*,SHR fried rice,55.54,,,,
18,ข้าวผัด SCK*,SCK fried rice,55.44,,,,
19,ต้มยำกุ้งน้ำข้น,Creamy Tom Yum soup with shrimp,120.00,,,,
20,ต้มข่าไก่,Chicken in coconut soup,100.00,,,,
21,แกงเขียวหวานไก่,Green curry with chicken,90.00,,,,
22,แกงส้มชะอมไข่กุ้ง,Sour curry w/ acacia omelet & shrimp,110.00,,,,
23,พะแนงหมู,Panang curry with pork,95.00,,,,
24,มัสมั่นไก่,Massaman curry with chicken,100.00,,,,
25,ต้มจืดเต้าหู้อ่อนหมูสับ,Clear soup with soft tofu and minced pork,80.00,,,,
26,แกงเผ็ดเป็ดย่าง,Red curry with roasted duck,130.00,,,,
27,ปอเปี๊ยะทอด,Deep-fried spring rolls,60.00,,,,
28,ทอดมันกุ้ง,Deep-fried shrimp cakes,80.00,,,,
29,ไก่สะเต๊ะ,Chicken satay,75.00,,,,
30,หมูปิ้ง,Grilled pork skewers,50.00,,,,
31,กุ้งชุบแป้งทอด,Deep-fried battered shrimp,85.00,,,,
32,ถุงทอง,Golden bags (money bags),70.00,,,,
33,ขนมปังหน้าหมู,Fried bread with minced pork spread,65.00,,,,
34,ส้มตำไทย,Papaya salad (Thai style),60.00,,,,
35,ส้มตำปูปลาร้า,Papaya salad with fermented fish and crab,70.00,,,,
36,ยำวุ้นเส้นทะเล,Spicy glass noodle salad with seafood,90.00,,,,
37,ยำรวมมิตร,Spicy mixed salad,85.00,,,,
38,ลาบหมู,Spicy minced pork salad,75.00,,,,
39,น้ำตกหมู,Grilled pork salad (Nam Tok),75.00,,,,
40,พล่ากุ้ง,Spicy shrimp salad with lemongrass,95.00,,,,
41,ข้าวเหนียวมะม่วง,Mango sticky rice,90.00,,,,
42,ทับทิมกรอบ,Water chestnuts in coconut milk,50.00,,,,
43,กล้วยเชื่อม,Bananas in syrup,45.00,,,,
44,บัวลอยไข่หวาน,Rice balls in coconut milk with egg,55.00,,,,
45,ไอศกรีมกะทิสด,Coconut ice cream,50.00,,,,
46,สังขยาฟักทอง,Pumpkin custard,60.00,,,,
47,ขนมชั้น,Layered jelly cake (Khanom Chan),40.00,,,,
48,ลูกชุบ,Fruit-shaped mung bean desserts,50.00,,,,
49,ผลไม้รวม,Mixed fruits,70.00,,,,
50,เค้ก (ชิ้น),Cake (slice),80.00,,,,
51,เต้าส่วน,Mung bean pudding,45.00,,,,
52,สาคูเปียกข้าวโพด,Sago pudding with corn,45.00,,,,
53,ลูกอม WLB*,WLB Candy,5.55,,,,
54,ลูกอม SCK*,SCK Candy,5.44,,,,
55,น้ำเปล่า,Drinking water,20.00,,,,
56,"น้ำอัดลม (โค้ก, สไปรท์, แฟนต้า)","Soft drinks (Coke, Sprite, Fanta)",30.00,,,,
57,ชามะนาว,Lemon iced tea,45.00,,,,
58,ชาเย็น (ชาไทย),Thai iced tea,50.00,วิปครีม,15,,
59,กาแฟเย็น,Iced coffee,55.00,,,,
60,โอเลี้ยง,Thai black iced coffee,40.00,,,,
61,น้ำส้มคั้นสด,Fresh orange juice,60.00,,,,
62,น้ำมะพร้าว,Coconut water,50.00,,,,
63,น้ำแตงโมปั่น,Watermelon smoothie,55.00,,,,
64,"เบียร์ (สิงห์, ลีโอ, ช้าง)","Beer (Singha, Leo, Chang)",80.00,,,,
